,TBB-B-002,TBB-B-003,TBB-B-005,TBB-B-006,TBB-B-007,TBB-B-008,TBB-B-009,TBB-B-010,TBB-B-011,TBB-B-012,TBB-B-013,TBB-B-014,TBB-B-015,TBB-B-016,TBB-B-018,TBB-B-019,TBB-B-020,TBB-B-022
PTEN,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
HDAC2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALB2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
PIK3CA,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
POLE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNX1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FANCA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEK2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RB1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
APC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIP1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ATM,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
ATR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KRAS,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
NF1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ZFP36L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MAP2K4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
